DATE_TIME;PLANT_ID;SOURCE_KEY;AMBIENT_TEMPERATURE;MODULE_TEMPERATURE;IRRADIATION
1/06/2020 6:00;4136001;iq8k7ZNt4Mwm3w0;23.470.155.033.333.300;22.829.620.200.000.000;0.0063919369866666667
1/06/2020 6:15;4136001;iq8k7ZNt4Mwm3w0;23.673.325.103.448.200;23.338.527.344.827.500;0.020901374103448271
1/06/2020 6:30;4136001;iq8k7ZNt4Mwm3w0;23.979.217.633.333.300;23.886.279.333.333.300;0.046873134166666677
1/06/2020 6:45;4136001;iq8k7ZNt4Mwm3w0;24.209.690.400.000.000;25.161.978.166.666.600;0.069706667466666677
1/06/2020 7:00;4136001;iq8k7ZNt4Mwm3w0;24.567.252.344.827.500;26.587.057.137.931.000;0.064624228620689644
1/06/2020 7:15;4136001;iq8k7ZNt4Mwm3w0;24.835.614.033.333.300;27.842.000.433.333.300;0.1504371014
1/06/2020 7:30;4136001;iq8k7ZNt4Mwm3w0;25.361.633.241.379.300;30.208.129.793.103.400;0.16287006586206898
1/06/2020 7:45;4136001;iq8k7ZNt4Mwm3w0;255.112.201;29.695.339.933.333.300;0.13207047313333334
1/06/2020 8:00;4136001;iq8k7ZNt4Mwm3w0;25.689.117.433.333.300;29.606.748.466.666.600;0.161106645
1/06/2020 8:15;4136001;iq8k7ZNt4Mwm3w0;25.838.382.137.931.000;29.698.359.931.034.400;0.21757411482758623
1/06/2020 8:30;4136001;iq8k7ZNt4Mwm3w0;2.610.598.753.333.330;30.992.041.066.666.600;0.28162436533333335
1/06/2020 8:45;4136001;iq8k7ZNt4Mwm3w0;26.785.414.068.965.500;35.383.090.241.379.300;0.547218646551724
1/06/2020 9:00;4136001;iq8k7ZNt4Mwm3w0;27.515.931.200.000.000;3.975.073.440.000.000;0.66032114866666691
1/06/2020 9:15;4136001;iq8k7ZNt4Mwm3w0;28.245.770.233.333.300;41.818.746.799.999.900;0.69873647966666663
1/06/2020 9:30;4136001;iq8k7ZNt4Mwm3w0;2.905.904;46.360.684.137.931.000;0.8137932979310345
1/06/2020 9:45;4136001;iq8k7ZNt4Mwm3w0;29.394.693.966.666.600;49.350.602.266.666.600;0.78834436066666669
1/06/2020 10:00;4136001;iq8k7ZNt4Mwm3w0;29.301.692.551.724.100;47.559.440.862.068.900;0.62547622482758614
1/06/2020 10:15;4136001;iq8k7ZNt4Mwm3w0;29.822.622.499.999.900;504.896.434;0.91844809533333327
1/06/2020 10:30;4136001;iq8k7ZNt4Mwm3w0;30.160.547.758.620.600;4.979.540.931.034.480;0.68838622827586193
1/06/2020 10:45;4136001;iq8k7ZNt4Mwm3w0;30.099.529.033.333.300;439.329.496;0.31999971466666655
1/06/2020 11:00;4136001;iq8k7ZNt4Mwm3w0;30.165.436.866.666.600;41.236.209.033.333.300;0.31675462433333335
1/06/2020 11:15;4136001;iq8k7ZNt4Mwm3w0;30.597.649.999.999.900;43.203.521.793.103.400;0.45434183068965517
1/06/2020 11:30;4136001;iq8k7ZNt4Mwm3w0;309.631.358;43.168.145.766.666.600;0.35262523700000004
1/06/2020 11:45;4136001;iq8k7ZNt4Mwm3w0;30.702.194.655.172.400;39.678.807.931.034.400;0.48591024379310349
1/06/2020 12:00;4136001;iq8k7ZNt4Mwm3w0;32.097.253.366.666.600;53.477.917.500.000.000;10.797.786.666.666.600
